Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std
yeast,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,0.4263175935001152,0.014187663439994225,0.6139049048808891,0.013260253764292615,0.20464885722361967,0.002014890043194381,0.20464885722361967,0.002014890043194381,0.19303650672238512,0.0021140324067923876,0.4547600609746113,0.015570094728825524,0.6571089996927275,0.010675067728529915,0.9260283575426455,0.005561652785923255,0.5747981310790585,0.037478778516942375,0.07397164245735455,0.005561652785923252,0.07397164245735455,0.005561652785923252,,,,,,
yeast,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,0.4352704380632826,0.014526207563592056,0.6293023887833802,0.011745594846165459,0.2087371206598771,0.0015728226542127994,0.2087371206598771,0.0015728226542127994,0.199082680518531,0.0016731605854508281,0.4531229801658202,0.015023956893877992,0.6562748975235652,0.009883841201948127,0.9519568275159267,0.004337164932028299,0.4336906727821746,0.03301892399680475,0.048043172484073235,0.00433716493202826,0.048043172484073235,0.00433716493202826,,,,,,
medical,BR_MLP,full,,0.16145456682595197,0.0166372713792189,0.20064478610387543,0.0076072837332253505,0.15657116726182396,0.006013997680061418,0.0,0.0,0.20423066358694486,0.00843438132304442,0.05677638053894043,0.006582988209542867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medical,CC_MLP,full,,0.19646197705711596,0.016989509755004895,0.5991895694893047,0.015215879062646473,0.025149134857437954,0.0010444800488307374,0.28657977859807726,0.04367536977679739,0.5677236253990212,0.0241324914946597,1.3305781841278077,0.1956100408626852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medical,MLC_PA,full,,0.2843994964427945,0.00851971140905846,0.7943595764355694,0.013159564902691113,0.010379264347207083,0.0004292728060960186,0.6413756515603233,0.01668391714095734,0.7422799142186001,0.020860891925067526,0.6486612796783447,0.08797265752140869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medical,MLC_PA,rejection,0.2,,,,,,,,,,,,,0.16016971625893567,0.028312576971790758,0.5914540451170504,0.0364955760422484,0.008705201379201779,0.0004802434847188367,0.008705201379201779,0.0004802434847188367,0.00534699682615492,0.0003678732448460166,0.2516164923496305,0.03573461226861174,0.8199960797060573,0.017383478783336497,0.98274745543087,0.0013950747945963053,0.5839065728965164,0.03730754082092846,0.017252544569130022,0.0013950747945963254,0.017252544569130022,0.0013950747945963254,,,,,,
medical,MLC_PA,rejection,0.25,,,,,,,,,,,,,0.19077017723779005,0.027224979748828128,0.6529073210340475,0.02610471709259333,0.009249441373495875,0.0005974884805281289,0.009249441373495875,0.0005974884805281289,0.006016976878021242,0.00048315590923925445,0.26705946603230946,0.02982716318160396,0.8245096629130334,0.016837354038037617,0.986750773641489,0.0009759265596419894,0.47168906233152513,0.027318629278570882,0.013249226358510913,0.0009759265596420053,0.013249226358510913,0.0009759265596420053,,,,,,
medical,MLC_PA,rejection,0.3,,,,,,,,,,,,,0.2176239339842429,0.02746553432334013,0.7025862594357413,0.01845771075937536,0.00969213575382687,0.000429867053054086,0.00969213575382687,0.000429867053054086,0.006752552618226282,0.0002888135008077235,0.27079693904416213,0.024962700441069977,0.8250758808023008,0.0064876573314935244,0.9899755415253791,0.0008125563988800218,0.36952873151793636,0.03668220457214192,0.0100244584746209,0.0008125563988800094,0.0100244584746209,0.0008125563988800094,,,,,,
medical,MLC_PA,rejection,0.35,,,,,,,,,,,,,0.23633987779473936,0.025324274614299643,0.7414040324613511,0.00911493153905017,0.009832693844937141,0.0003787818466772986,0.009832693844937141,0.0003787818466772986,0.007394905683222963,0.0001963372345929068,0.27070117908484914,0.021843125970059295,0.8247020950493464,0.003555526425268422,0.9928843379969401,0.0006026530859025365,0.2824752402495586,0.03148011036800266,0.007115662003059839,0.0006026530859025537,0.007115662003059839,0.0006026530859025537,,,,,,
medical,MLC_PA,rejection,0.4,,,,,,,,,,,,,0.2569420227943683,0.014839312805728254,0.7647516253005048,0.006109166490653112,0.010194583484504086,0.0002957939162215907,0.010194583484504086,0.0002957939162215907,0.008421458435235289,0.00015911853392789805,0.27950303941033344,0.011855596947532564,0.8141091142028335,0.005495353489220825,0.9954718511934872,0.0006334853656373217,0.18736310625122116,0.03513040198212128,0.004528148806512637,0.0006334853656373045,0.004528148806512637,0.0006334853656373045,,,,,,
medical,GSI_MLC_PA,full,,0.28262631762435503,0.028450131708232358,0.7233632231222593,0.014856448095468893,0.013226585689960236,0.000693175941713304,0.5594269230084506,0.022919791723477557,0.6622704388550346,0.01590311509101627,90.19517979621887,1.0759477452935473,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8944271909999157,44.4,0.8944271909999159,0.24262806199808437,0.026030409170939336
medical,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,0.21358241162387484,0.02610987246693387,0.641635439377365,0.034814886540973915,0.01097297400053694,0.0005824544537868803,0.01097297400053694,0.0005824544537868803,0.009048869598703931,0.00045268376918460013,0.2625824188697113,0.026155154692637735,0.7539705468205352,0.01832574870025327,0.989922461238606,0.0010187134524900043,0.37990213937825523,0.033637761546157545,0.010077538761393928,0.0010187134524900167,0.010077538761393928,0.0010187134524900167,,,,,,
medical,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,0.2343079790146962,0.025397263389216978,0.6708190969813428,0.022252680351173126,0.011562952785858978,0.0005377534097061192,0.011562952785858978,0.0005377534097061192,0.009731169357808456,0.0004617975166410255,0.2682613845807418,0.023750615528366124,0.7537310977476033,0.013073166804487408,0.9923758077848326,0.0007918756938603158,0.2980555543723925,0.0305244043558341,0.007624192215167282,0.0007918756938603075,0.007624192215167282,0.0007918756938603075,,,,,,
